,motion citoyenne,motion (28/06/2016),motion des gauches (12/05/2016),motion de droite (12/05/2016),motion de droite - vote (12/05/2016),tribune jdd
Olivier Marleix,,,,x,x,
Franck Marlin,,,,,x,
Jean-René Marsac,,,,,,
Alain Marsaud,,,,,x,
Philippe Martin,,,,,,
Philippe Armand Martin,,,,,x,
Martine Martinel,,,,,,
Patrice Martin-Lalande,,,,x,x,
Alain Marty,,,,x,x,
Frédérique Massat,,,,,,
Véronique Massonneau,,,,,,
Jean-Claude Mathis,,,,x,x,
Sandrine Mazetier,,,,,,
François de Mazières,,,,x,x,
Michel Ménard,,,,,,
Patrick Mennucci,,,,,,
Gérard Menuel,,,,x,x,
Damien Meslot,,,,x,x,
Kléber Mesquida,,,,,,
Philippe Meunier,,,,x,x,
Jean-Claude Mignon,,,,x,x,
Sylvia Pinel,,,,,,
Paul Molac,,,,,,
Pierre Morange,,,,x,x,
Yannick Moreau,,,,x,x,
Pierre Morel-A-L'Huissier,,,,x,x,
Hervé Morin,,,,x,x,
Alain Moyne-Bressand,,,,x,x,
Pierre-Alain Muet,,,,,,
Jacques Myard,,,,x,x,
Philippe Naillet,,,,,,
Dominique Nachury,,,,x,x,
Philippe Nauche,,,,,,
Yves Nicolin,,,,x,x,
Nathalie Nieson,,,,,,
Jean-Philippe Nilor,,x,x,,x,x
Philippe Noguès,x,x,x,,x,x
Robert Olive,,,,,,
Maud Olivier,,,,,,
Patrick Ollier,,,,x,x,
Dominique Orliac,,,,,,
Monique Orphé,,,,,,
Michel Pajon,,,,,,
Bertrand Pancher,,,,x,x,
Luce Pane,,,,,,
Christian Paul,x,x,x,,,x
Rémi Pauvros,,,,,,
Germinal Peiro,,,,,,
Jacques Pélissard,,,,x,x,
Hervé Pellois,,,,,,
Jean-Claude Perez,,,,,,
Stéphanie Pernod-Beaudon,,,,,,
Bernard Perrut,,,,x,x,
Édouard Philippe,,,,x,x,
Sébastien Pietrasanta,,,,,,
Christine Pirès-Beaune,,,,,,
Michel Piron,,,,x,x,
Philippe Plisson,,,,,,
Élisabeth Pochon,,,,,,
Jean-Frédéric Poisson,,,,x,x,
Bérengère Poletti,,,,x,x,
Napole Polutélé,,,,,,
Axel Poniatowski,,,,x,x,
Josette Pons,,,,x,x,
Pascal Popelin,,,,,,
Dominique Potier,,,,,,
Michel Pouzol,,x,x,,,x
Régine Povéda,,,,,,
Patrice Prat,x,x,x,,,x
Christophe Premat,,,,,,
Christophe Priou,,,,,x,
Joaquim Pueyo,,,,,,
François Pupponi,,,,,,
Didier Quentin,,,,x,x,
Catherine Quéré,,,,,,
Valérie Rabault,,,,,,
Monique Rabin,,,,,,
Dominique Raimbourg,,,,,,
Marie Récalde,,,,,,
Frédéric Reiss,,,,x,x,
Jean-Luc Reitzer,,,,,x,
Marie-Line Reynaud,,,,,,
Bernard Reynès,,,,x,x,
Franck Reynier,,,,x,x,
Arnaud Richard,,,,x,x,
Pierre Ribeaud,,,,,,
Franck Riester,,,,x,x,
Eduardo Rihan Cypel,,,,,,
Thierry Robert,,,,,x,
Denys Robiliard,,,,,,
Arnaud Robinet,,,,x,x,
Camille de Rocca Serra,,,,,x,
François Rochebloine,,,,x,x,
Alain Rodet,,,,,,
Marcel Rogemont,,,,,,
Sophie Rohfritsch,,,,x,x,
Frédéric Roig,,,,,,
Barbara Romagnan,x,x,x,,,x
Bernard Roman,,,,,,
Gwendal Rouillard,,,,,,
Jean-Louis Roumégas,x,x,x,,,x
René Rouquet,,,,,,
Alain Rousset,,,,,,
François de Rugy,,,,,,
Martial Saddier,,,,x,x,
Maina Sage,,,,x,,
Boinali Saïd,,,,,,
Stéphane Saint-André,,,,,,
Paul Salen,,,,x,x,
Rudy Salles,,,,x,x,
Nicolas Sansu,x,x,x,,x,x
Béatrice Santais,,,,,,
André Santini,,,,x,x,
Éva Sas,x,x,x,,,x
Odile Saugues,,,,,,
François Sauvadet,,,,x,x,
Gilbert Sauvan,,,,,,
Gilles Savary,,,,,,
François Scellier,,,,x,x,
Claudine Schmid,,,,x,x,
André Schneider,,,,x,x,
Roger-Gérard Schwartzenberg,,,,,,
Gérard Sebaoun,,x,x,,,x
Jean-Marie Sermier,,,,,x,
Gabriel Serville,,,,,,
Fernand Siré,,,,x,x,
Christophe Sirugue,,,,,,
Thierry Solère,,,,,x,
Julie Sommaruga,,,,,,
Michel Sordi,,,,x,x,
Éric Straumann,,,,x,x,
Claude Sturni,,,,x,x,
Alain Suguenot,,,,,x,
Michèle Tabarot,,,,x,x,
Jonas Tahuaitu,,,,x,x,
Suzanne Tallard,,x,x,,,x
Lionel Tardy,,,,x,x,
Jean-Charles Taugourdeau,,,,x,x,
Guy Teissier,,,,x,x,
Pascal Terrasse,,,,,,
Michel Terrot,,,,x,x,
Jean-Marie Tétart,,,,x,x,
Pascal Thévenot,,,,x,x,
Thomas Thévenoud,,x,x,,,x
Dominique Tian,,,,x,x,
Sylvie Tolmont,,,,,,
Jean-Louis Touraine,,,,,,
Alain Tourret,,,,,,
Stéphane Travert,,,,,,
Catherine Troallic,,,,,,
Jean-Paul Tuaiva,,,,,,
Cécile Untermaier,,,,,,
Daniel Vaillant,,,,,,
Jacques Valax,,,,,,
François Vannson,,,,x,x,
Catherine Vautrin,,,,x,x,
Michel Vauzelle,,,,,,
Francis Vercamer,,,,x,x,
Patrice Verchère,,,,x,x,
Fabrice Verdier,,,,,,
Michel Vergnier,,,,,,x
Jean-Sébastien Vialatte,,,,x,x,
Arnaud Viala,,,,x,x,
Philippe Vigier,,,,x,x,
Jean-Pierre Vigier,,,,x,x,
Patrick Vignal,,,,,,
François-Xavier Villain,,,,,x,
Jean-Michel Villaumé,,,,,,
Philippe Vitel,,,,x,x,
Jean-Jacques Vlody,,,,,,
Michel Voisin,,,,x,x,
Jean-Luc Warsmann,,,,,x,
Laurent Wauquiez,,,,,x,
Patrick Weiten,,,,x,x,
Éric Woerth,,,,x,x,
Paola Zanetti,x,x,x,,,x
Marie-Jo Zimmermann,,,,x,x,
Michel Zumkeller,,,,x,x,
