577,parti politique,groupe parlementaire,twitter,
Sophie Errante,Parti socialiste,SRC,SophieErrante ,
Marie-Hélène Fabre,Parti socialiste,SRC,MHFabre ,
Olivier Falorni,Parti radical de gauche,RRDP,OlivierFalorni ,
Daniel Fasquelle,Les Républicains,LR,DFasquelle ,
Alain Fauré,Parti socialiste,SRC,afaure09,
Martine Faure,Parti socialiste,SRC,MartineFaure,
Olivier Faure,Parti socialiste,SRC,faureolivier ,
Yannick Favennec,"Union des Radicaux, centristes, indépendants et démocrates",UDI,yfavennec,
Georges Fenech,Les Républicains,LR,GeorgesFENECH ,
Hervé Féron,Parti socialiste,SRC,herveferon,
Richard Ferrand,Parti socialiste,SRC,RichardFerrand ,
Aurélie Filippetti,Parti socialiste,SRC,aurelifil,
François Fillon,Les Républicains,LR,FrancoisFillon ,
Geneviève Fioraso,Parti socialiste,SRC,fioraso,
Philippe Folliot,Association PSLE - Nouveau Centre,UDI,philippefolliot ,
Marie-Louise Fort,Les Républicains,LR,,?
Yves Foulon,Les Républicains,LR,deputefoulon,
Hugues Fourage,Parti socialiste,SRC,huguesfourage,
Jean-Marc Fournel,Parti socialiste,SRC,?,
Valérie Fourneyron,Parti socialiste,SRC,vfourneyron,
Michèle Fournier-Armand,Parti socialiste,SRC,fournier_armand ,
Michel Françaix,,SRC,michelfrancaix ,
Marc Francina,Les Républicains,LR,,?
Christian Franqueville,Parti socialiste,SRC,,?
Jacqueline Fraysse,Forces de Gauche,GDR,,?
Jean-Christophe Fromantin,Association PSLE - Nouveau Centre,NI,JCFromantin ,
Yves Fromion,Les Républicains,LR,YvesFromion,
Jean-Claude Fruteau,Parti socialiste,SRC,,?
Laurent Furst,Les Républicains,LR,,?
Jean-Louis Gagnaire,Parti socialiste,SRC,JLGagnaire ,
Geneviève Gaillard,Parti socialiste,SRC,gaillard_2014 ,
Yann Galut,Parti socialiste,SRC,yanngalut ,
Claude de Ganay,,LR,Cdganay ,
Sauveur Gandolfi-Scheit,Les Républicains,LR,SauveurGandolfi,
Guillaume Garot,Parti socialiste,SRC,guillaumegarot,
Renaud Gauquelin,,SRC,renaudgauquelin,
Hervé Gaymard,Les Républicains,LR,HGaymard ,
Annie Genevard,Les Républicains,LR,AnnieGenevard,
Guy Geoffroy,Les Républicains,LR,GuyGeoffroy,
Bernard Gérard,Les Républicains,LR,bgerard59 ,
Jean-Marc Germain,Parti socialiste,SRC,jmgermain ,
Alain Gest,Les Républicains,LR,Alain_Gest ,
Paul Giacobbi,Non déclaré,RRDP,pgiacobbi ,
Daniel Gibbs,,a. LR,DGibbs978 ,
Franck Gilard,Les Républicains,LR,,?
Jean-Patrick Gille,Parti socialiste,SRC,jp_gille ,
Georges Ginesta,Les Républicains,LR,,?
Charles-Ange Ginésy,,LR,ca_ginesy ,
Jean-Pierre Giran,Les Républicains,LR,JeanPierreGiran ,
Joël Giraud,Parti radical de gauche,RRDP,JoelGiraud05,
Jean Glavany,Parti socialiste,SRC,JeanGlavany,
Yves Goasdoué,Parti socialiste,a. SRC,yvesgoasdoue,
Claude Goasguen,Les Républicains,LR,ClaudeGoasguen ,
Daniel Goldberg,Parti socialiste,SRC,GoldbergDaniel ,
Philippe Gomès,,UDI,PhilippeGomesCE ,
Jean-Pierre Gorges,Non déclaré,LR,jpgorges,
Geneviève Gosselin,,SRC,,?
Philippe Gosselin,Les Républicains,LR,phgosselin ,
Pascale Got,Parti socialiste,SRC,Pascalegot,
Marc Goua,Parti socialiste,SRC,,?
Philippe Goujon,Les Républicains,LR,Philippe_Goujon ,
Linda Gourjade,Parti socialiste,SRC,Linda_Gourjade ,
Laurent Grandguillaume,Parti socialiste,SRC,ANDGUILLAUME ,
Claude Greff,Les Républicains,LR,ClaudeGreff ,
Jean Grellier,Parti socialiste,SRC,Jean_Grellier ,
Arlette Grosskost,Les Républicains,LR,agrosskost ,
Serge Grouard,Les Républicains,LR,sergegrouard,
Henri Guaino,Les Républicains,LR,Henri_Guaino,
Françoise Guégot,Les Républicains,LR,fguegot ,
Édith Gueugneau,,a. SRC,egueugneau,
Jean-Claude Guibal,Les Républicains,LR,jcguibal ,
Élisabeth Guigou,Parti socialiste,SRC,elisabethguigou ,
Jean-Jacques Guillet,Les Républicains,LR,jjguillet ,
Christophe Guilloteau,Les Républicains,LR,,?
Chantal Guittet,Parti socialiste,SRC,chantalguittet ,
David Habib,Parti socialiste,SRC,davidhabiban,
Meyer Habib,"Union des Radicaux, centristes, indépendants et démocrates",UDI,Meyer_Habib,
Razzy Hammadi,Parti socialiste,SRC,RHammadi,
Benoît Hamon,Parti socialiste,SRC,benoithamon,
Mathieu Hanotin,Parti socialiste,SRC,MathieuHanotin ,
Michel Heinrich,Les Républicains,LR,,?
Michel Herbillon,Les Républicains,LR,,?
Antoine Herth,Les Républicains,LR,antoineherth,
Patrick Hetzel,Les Républicains,LR,patrickhetzel,
Francis Hillmeyer,Association PSLE - Nouveau Centre,UDI,FHillmeyer,
Gilda Hobert,Parti radical de gauche,RRDP,,?
Philippe Houillon,Les Républicains,LR,PHouillon ,
Guénhaël Huet,Les Républicains,LR,guenhaelhuet,
Joëlle Huillier,Parti socialiste,SRC,Joellehuillier ,
Christian Hutin,Parti socialiste,a. SRC,ChristianHutin,
Sébastien Huyghe,Les Républicains,LR,SebastienHuyghe ,
Monique Iborra,Parti socialiste,SRC,MoniqueIborra ,
Françoise Imbert,Parti socialiste,SRC,,?
Michel Issindou,Parti socialiste,SRC,,?
Christian Jacob,Les Républicains,LR,,?
Denis Jacquat,Les Républicains,LR,,?
Éric Jalton,Parti communiste guadeloupéen,SRC,EricJALTON ,
Serge Janquin,Parti socialiste,SRC,,?
Yves Jégo,"Union des Radicaux, centristes, indépendants et démocrates",UDI,yvesjego ,
Henri Jibrayel,Parti socialiste,SRC,henrijibrayel ,
Romain Joron,,SRC,RomainJoron,
Régis Juanico,Parti socialiste,SRC,Juanico ,
Laurent Kalinowski,Parti socialiste,SRC,L_Kalinowski,
Marietta Karamanli,Parti socialiste,SRC,karamanli72 ,
Philippe Kemel,Parti socialiste,SRC,philippekemel ,
Christian Kert,Les Républicains,LR,christian_kert ,
Chaynesse Khirouni,Parti socialiste,SRC,,?
Nathalie Kosciusko-Morizet,Les Républicains,LR,nk_m ,
Jacques Kossowski,Les Républicains,LR,jakossowski ,
Jacques Krabal,Parti radical de gauche,RRDP,JKrabal,
Patrick Labaune,Les Républicains,LR,patricklabaune ,
Bernadette Laclais,Parti socialiste,SRC,,?
Valérie Lacroute,Les Républicains,LR,VLacroute ,
Conchita Lacuey,Parti socialiste,SRC,,?
Marc Laffineur,Les Républicains,LR,Marclaffineur ,
Jean-Christophe Lagarde,"Union des Radicaux, centristes, indépendants et démocrates",UDI,jclagarde ,
Sonia Lagarde,"Union des Radicaux, centristes, indépendants et démocrates",UDI,SoniaLagarde ,
François-Michel Lambert,Parti socialiste,SRC,fm_lambert ,
Jérôme Lambert,Parti socialiste,RRDP,jeromelambert16,
Jacques Lamblin,Les Républicains,LR,JacquesLamblin,
Jean-François Lamour,Les Républicains,LR,JF_Lamour ,
François Lamy,Parti socialiste,SRC,lamy_f,
Anne-Christine Lang,Parti socialiste,SRC,AChristine_Lang,
Colette Langlade,Parti socialiste,SRC,ColetteLanglade,
Guillaume Larrivé,Les Républicains,LR,GLarrive ,
Laure de La Raudière,,LR,lauredlr ,
Jean Lassalle,Le Centre pour la France,NI,jeanlassalle ,
Jean Launay,Parti socialiste,SRC,JeanLAUNAY46,
Jean-Luc Laurent,Parti socialiste,a. SRC,jluc_laurent,
Charles de La Verpillière,,LR,delaverpilliere ,
Thierry Lazaro,Les Républicains,LR,,?
Alain Lebœuf,,LR,a_leboeuf ,
Marylise Lebranchu,,SRC,mlebranchu,
Pierre-Yves Le Borgn',Parti socialiste,SRC,pyleborgn ,
Jean-Yves Le Bouillonnec,Parti socialiste,SRC,,?
Patrick Lebreton,Parti socialiste,NI,lebreton2014,
Gilbert Le Bris,Parti socialiste,SRC,gilbertlebris ,
Isabelle Le Callennec,Les Républicains,LR,lecallennec ,
Anne-Yvonne Le Dain,Parti socialiste,SRC,Ayledain ,
Jean-Yves Le Déaut,Parti socialiste,SRC,,?
Viviane Le Dissez,Parti socialiste,SRC,,?
Vincent Ledoux,,LR,vincentledoux59,
Michel Lefait,Parti socialiste,SRC,MLEFAIT ,
Dominique Lefebvre,Parti socialiste,SRC,LefebvrePS,
Frédéric Lefebvre,Les Républicains,LR,FLefebvre_RF ,
Marc Le Fur,Les Républicains,LR,marclefur ,
Annie Le Houérou,,SRC,LeHouerouA,
Pierre Lellouche,Les Républicains,LR,LellouchePierre ,
Annick Le Loch,Parti socialiste,SRC,annick_leloch ,
Bruno Le Maire,Les Républicains,LR,BrunoLeMaire ,
Patrick Lemasle,Parti socialiste,SRC,,?
Dominique Le Mèner,Les Républicains,LR,lemenerdom ,
Catherine Lemorton,Parti socialiste,SRC,CathLEMORTON ,
Christophe Léonard,Parti socialiste,SRC,Ch_Leonard ,
Jean Leonetti,Les Républicains,LR,JeanLeonetti ,
Annick Lepetit,Parti socialiste,SRC,annick_lepetit ,
Pierre Lequiller,Les Républicains,LR,PLequiller,
Philippe Le Ray,Les Républicains,LR,PhilippeLERAY56 ,
Jean-Pierre Le Roch,Parti socialiste,SRC,,?
Bruno Le Roux,Parti socialiste,SRC,BrunoLeRoux ,
Arnaud Leroy,Parti socialiste,SRC,ar_leroy ,
Marie-Thérèse Le Roy,,SRC,,?
Maurice Leroy,Association PSLE - Nouveau Centre,UDI,MauriceLeroy ,
Michel Lesage,Parti socialiste,SRC,,?
Bernard Lesterlin,Parti socialiste,SRC,BLesterlin ,
Serge Letchimy,Parti progressiste martiniquais,a. SRC,SergeLetchimy ,
Céleste Lett,Les Républicains,LR,,?
Marie Le Vern,Parti socialiste,SRC,Marie_LeVern,
Geneviève Levy,Les Républicains,LR,,?
